Case_ID,Timestamp,Activity
case_id821352072,2024-10-01T13:07:10+01:00,A
case_id2076391620,2024-10-01T13:07:10+01:00,b
case_id2076391620,2024-10-01T13:07:10+01:00,e
case_id2076391620,2024-10-01T13:07:10+01:00,a
case_id2076391620,2024-10-01T13:07:10+01:00,F
case_id2076391620,2024-10-01T13:07:10+01:00,f
case_id2076391620,2024-10-01T13:07:10+01:00,D
case_id2076391620,2024-10-01T13:07:10+01:00,c
case_id2076391620,2024-10-01T13:07:10+01:00,g
case_id2076391620,2024-10-01T13:07:10+01:00,d
case_id2076391620,2024-10-01T13:07:10+01:00,K
case_id2076391620,2024-10-01T13:07:10+01:00,E
case_id2076391620,2024-10-01T13:07:10+01:00,A
case_id2123747713,2024-10-01T13:07:10+01:00,b
case_id2123747713,2024-10-01T13:07:10+01:00,d
case_id2123747713,2024-10-01T13:07:10+01:00,e
case_id2123747713,2024-10-01T13:07:10+01:00,F
case_id2123747713,2024-10-01T13:07:10+01:00,c
case_id2123747713,2024-10-01T13:07:10+01:00,a
case_id2123747713,2024-10-01T13:07:10+01:00,D
case_id2123747713,2024-10-01T13:07:10+01:00,g
case_id2123747713,2024-10-01T13:07:10+01:00,f
case_id2123747713,2024-10-01T13:07:10+01:00,K
case_id2123747713,2024-10-01T13:07:10+01:00,E
case_id2123747713,2024-10-01T13:07:10+01:00,A
case_id2042192159,2024-10-01T13:07:10+01:00,f
case_id2042192159,2024-10-01T13:07:10+01:00,d
case_id2042192159,2024-10-01T13:07:10+01:00,e
case_id2042192159,2024-10-01T13:07:10+01:00,b
case_id2042192159,2024-10-01T13:07:10+01:00,g
case_id2042192159,2024-10-01T13:07:10+01:00,c
case_id2042192159,2024-10-01T13:07:10+01:00,a
case_id2042192159,2024-10-01T13:07:10+01:00,F
case_id2042192159,2024-10-01T13:07:10+01:00,K
case_id2042192159,2024-10-01T13:07:10+01:00,D
case_id2042192159,2024-10-01T13:07:10+01:00,E
case_id2042192159,2024-10-01T13:07:10+01:00,A
case_id1301318480,2024-10-01T13:07:10+01:00,d
case_id1301318480,2024-10-01T13:07:10+01:00,a
case_id1301318480,2024-10-01T13:07:10+01:00,e
case_id1301318480,2024-10-01T13:07:10+01:00,f
case_id1301318480,2024-10-01T13:07:10+01:00,D
case_id1301318480,2024-10-01T13:07:10+01:00,g
case_id1301318480,2024-10-01T13:07:10+01:00,F
case_id1301318480,2024-10-01T13:07:10+01:00,b
case_id1301318480,2024-10-01T13:07:10+01:00,c
case_id1301318480,2024-10-01T13:07:10+01:00,K
case_id1301318480,2024-10-01T13:07:10+01:00,E
case_id1301318480,2024-10-01T13:07:10+01:00,C
